Id,Prediction
1,8
2,9
3,3
4,1
5,4
6,5
7,9
8,0
9,3
10,3
11,5
12,3
13,7
14,6
15,7
16,5
17,8
18,8
19,5
20,3
21,8
22,9
23,8
24,5
25,7
26,2
27,0
28,9
29,8
30,4
31,4
32,6
33,6
34,6
35,0
36,3
37,9
38,6
39,8
40,9
41,8
42,1
43,8
44,3
45,5
46,9
47,3
48,3
49,2
50,7
51,8
52,5
53,1
54,3
55,9
56,8
57,2
58,0
59,8
60,7
61,9
62,8
63,8
64,1
65,5
66,6
67,5
68,9
69,4
70,9
71,6
72,5
73,0
74,0
75,2
76,7
77,4
78,8
79,3
80,1
81,4
82,5
83,2
84,2
85,2
86,1
87,2
88,4
89,8
90,1
91,4
92,6
93,9
94,2
95,2
96,7
97,6
98,0
99,8
100,5
101,7
102,3
103,8
104,5
105,1
106,9
107,3
108,2
109,3
110,1
111,7
112,2
113,3
114,7
115,9
116,7
117,8
118,9
119,6
120,5
121,6
122,9
123,8
124,0
125,9
126,0
127,8
128,4
129,5
130,2
131,4
132,3
133,4
134,0
135,1
136,5
137,5
138,8
139,0
140,2
141,1
142,4
143,7
144,0
145,9
146,6
147,3
148,9
149,3
150,8
151,0
152,6
153,8
154,8
155,0
156,8
157,6
158,4
159,5
160,3
161,7
162,9
163,4
164,5
165,0
166,0
167,4
168,3
169,4
170,1
171,7
172,5
173,9
174,1
175,9
176,0
177,6
178,6
179,3
180,7
181,7
182,7
183,7
184,9
185,2
186,5
187,4
188,2
189,0
190,1
191,2
192,0
193,3
194,4
195,2
196,1
197,2
198,9
199,8
200,8
201,0
202,2
203,1
204,8
205,4
206,2
207,2
208,4
209,6
210,8
211,9
212,1
213,7
214,3
215,9
216,7
217,3
218,7
219,1
220,5
221,3
222,0
223,5
224,5
225,2
226,8
227,4
228,4
229,1
230,3
231,3
232,8
233,9
234,8
235,1
236,4
237,8
238,6
239,5
240,6
241,9
242,5
243,0
244,7
245,6
246,5
247,1
248,6
249,6
250,3
251,0
252,4
253,6
254,1
255,6
256,8
257,2
258,2
259,1
260,8
261,6
262,8
263,7
264,4
265,2
266,2
267,1
268,4
269,3
270,4
271,3
272,7
273,5
274,4
275,4
276,1
277,0
278,5
279,5
280,0
281,1
282,6
283,8
284,2
285,0
286,3
287,9
288,6
289,3
290,8
291,3
292,1
293,9
294,1
295,9
296,1
297,8
298,1
299,7
300,8
301,1
302,2
303,5
304,6
305,8
306,5
307,9
308,4
309,8
310,9
311,6
312,2
313,3
314,5
315,8
316,6
317,7
318,0
319,6
320,5
321,4
322,5
323,3
324,5
325,4
326,4
327,0
328,8
329,4
330,5
331,6
332,4
333,5
334,9
335,4
336,2
337,9
338,9
339,7
340,9
341,2
342,3
343,7
344,0
345,1
346,2
347,6
348,1
349,7
350,3
351,4
352,9
353,4
354,6
355,1
356,8
357,3
358,0
359,0
360,3
361,8
362,6
363,9
364,5
365,9
366,5
367,7
368,1
369,8
370,5
371,2
372,0
373,6
374,8
375,8
376,7
377,1
378,0
379,7
380,7
381,1
382,2
383,7
384,8
385,2
386,4
387,6
388,4
389,0
390,1
391,5
392,7
393,6
394,0
395,2
396,5
397,2
398,6
399,5
400,5
401,0
402,9
403,7
404,4
405,9
406,7
407,9
408,5
409,5
410,4
411,0
412,5
413,9
414,4
415,1
416,9
417,1
418,3
419,2
420,9
421,5
422,2
423,7
424,1
425,3
426,9
427,8
428,8
429,9
430,6
431,5
432,1
433,1
434,3
435,4
436,3
437,9
438,0
439,8
440,5
441,3
442,0
443,1
444,3
445,5
446,4
447,5
448,3
449,9
450,1
451,9
452,4
453,8
454,3
455,9
456,1
457,8
458,7
459,1
460,0
461,2
462,4
463,3
464,6
465,2
466,5
467,5
468,9
469,6
470,3
471,7
472,0
473,9
474,0
475,0
476,8
477,7
478,0
479,2
480,5
481,8
482,1
483,1
484,6
485,0
486,6
487,8
488,2
489,2
490,1
491,1
492,2
493,8
494,2
495,7
496,1
497,6
498,8
499,9
500,8
501,6
502,1
503,9
504,8
505,7
506,1
507,4
508,1
509,4
510,6
511,8
512,4
513,0
514,1
515,1
516,1
517,0
518,9
519,0
520,0
521,9
522,2
523,6
524,9
525,0
526,2
527,7
528,2
529,4
530,9
531,4
532,1
533,1
534,2
535,5
536,5
537,1
538,3
539,1
540,3
541,6
542,8
543,8
544,1
545,7
546,3
547,6
548,0
549,4
550,0
551,9
552,9
553,1
554,7
555,1
556,8
557,4
558,2
