Science	none
2029	common year
1998 Winter Olympics	none
AC/DC	hard rock band
Alex Trebek	Canadian-American television game show host
Alkmene	person
Army	military
Arthur de Gobineau	French aristocrat
Artillery	big guns
Bath	thing
Belize	country
Bismuth	metal
Bruges	city
Cable television	none
Cerulean	range of colours
Chipmunk	small squirrel-like rodent
Communication Studies	area of study
Composition	none
Crown-of-thorns starfish	sea star
Disney Channel	cable television network
Doris Lessing	British writer
Edip Yuksel	student
Elegance	attribute
Elle Macpherson	Australian supermodel
Escopetarra	guitar
General Motors railway station, Melbourne	railway station
Georges Brassens	french singer
Gran Colombia	country
Great Fire of London	tragedy
Guwahati	largest city
Hadith	report
Haiphong	city
Hanami	Japanese traditional custom
Hillary Rodham Clinton	junior United States Senator
Hittites	ancient people
Hodgenville, Kentucky	town
Ilia	prefectures
Insomnia	none
Isthmus	narrow strip of land
Joachim Löw	former German footballer
John Collins	Scottish footballer.
John the Apostle	apostles
Jons Jacob Berzelius	Swedish chemist
K2	second highest mountain
Kampala	capital
Kookaburra Sport	Australian company
Ledger line	short line
List of Pterosaurs	none
Loreto Region	northern region
Lusaka	capital
Magnetosphere	region
Manny Gamburyan	mixed martial artist
Medusa (animal)	animals
Moat	body of water
Mollusc	invertebrate animals
MotorStorm	racing video game
Mud	mixture
My Belarusy	official national anthem
Nagamaki	Nagamaki Japanese pole weapon
Nakhodka	port city
North and South	novel
Nu metal	metal music
Onyx	rock mineral.
Orange (fruit)	citrus fruit
Pacific Islands	islands
Pacific Ocean	body of water
Paul Stanley (album)	solo album
Pellagra	disease.
Petros Duryan	Armenian poet
Phylum	second highest rank
Physical change	change
Pinocchio	made up story person
Piston	lubricated sliding shaft
President of Russia	political leader
Ritual	set of actions
São Tomé and Príncipe	small island nation
Scone, Perth and Kinross	town
Seam ripper	cutting tool
Shanty town	small towns
Shovel	tool
Smash (album)	successful albums
Sondrio	city
Spike Spiegel	main character
Terry Gilliam	American-born cartoonist
Thebes, Greece	city
Thunderstorm	weather system
Time	none
Toaster	machine
Tropical cyclone	circle shaped weather
Vaquita	Vaquita  porpoise
Wales	state
Wallonia	French-speaking region
Western Digital	company
Ziggy Stardust	fictional character
